PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
ranbp2pathway2	Sumoylation by RanBP2 regulates transcriptional repression		Jacob Seeler		8-Jun-09
syndecan_1_pathway	Syndecan-1-mediated signaling events		"John Couchman, Eok-Soo Oh"	Shiva Krupa	18-Sep-10
syndecan_2_pathway	Syndecan-2-mediated signaling events		"John Couchman, Eok-Soo Oh"	Shiva Krupa	9-Aug-10
syndecan_3_pathway	Syndecan-3-mediated signaling events		"John Couchman, Eok-Soo Oh"	Shiva Krupa	16-Sep-10
syndecan_4_pathway	Syndecan-4-mediated signaling events		"John Couchman, Eok-Soo Oh"	Shiva Krupa	17-Aug-10
tcr_pathway	TCR signaling in naìve CD4+ T cells	TCR signaling in nave CD4 T cells	"Amnon Altman, Anjana Rao, Mark Sundrud, Victor Tybulewicz, Weiguo Zhang "	Kira Anthony	18-Sep-10
CD8TCRpathway	TCR signaling in naìve CD8+ T cells	TCR signaling in nave CD8 T cells	"Alberto Anel, Nathalie Auphan-Anezin, Matthew Pipkin, Anjana Rao, Weiguo Zhang"	Kira Anthony	4-Jan-08
TGFBRpathway	TGF-beta receptor signaling		"Ye-Guang Chen, Kohei Miyazono, Kathleen M. Mulder"	Kira Anthony	13-Oct-08
thrombin_pathway	Thrombin/protease-activated receptor (PAR) pathway	Thrombinprotease-activated receptor (PAR) pathway	"Unice JK Soh, JoAnn Trejo"	Kira Anthony	20-Nov-06
TXA2pathway	Thromboxane A2 receptor signaling		Jean-Luc Parent	Kira Anthony	18-Sep-10
